PIV MEASUREMENT - Optoelectronics group LDCS version 1.1.0
Tom_0.75_2,06/12/2023,09:34:45

SOURCE_INST,SOURCE_PG_GPIO_SN,SOURCE_PG_ID,SOURCE_PG_CALIB_CONSTANT,SOURCE_PG_CALIB_DATE,SOURCE_TYPE,SOURCE_PG_OSC_INST,SOURCE_PG_OSC_SN,SOURCE_PG_OSC_AVE,SOURCE_PG_OSC_SCAL,SOURCE_PG_OSC_RANG_V,SOURCE_PG_OSC_PROB_V,SOURCE_PG_OSC_UNIT_V,SOURCE_PG_OSC_RANG_I,SOURCE_PG_OSC_PROB_I,SOURCE_PG_OSC_UNIT_I,SOURCE_PG_FREQ,SOURCE_PG_OSC_AUTO,SOURCE_PG_RES,SOURCE_PG_MAX_I,SOURCE_PG_MAX_V,SOURCE_PG_CALIB,SOURCE_PG_BG_V,SOURCE_PG_BG_I,POWER_INST,POWER_INST_SN,POWER_DETECTOR,POWER_DETECTOR_SN,POWER_DETECTOR_CALIB,POWER_WL,POWER_AVE,POWER_MAX,POWER_TR,POWER_ITH,PIV_MEAS_TIME,PIV_MEAS_END
Pulse generator (digital type),100062623,Q-PG-DP,2.098,30/11/23,Pulsed,Keysight DSOX1204A Oscilloscope,CN62096236,64,+500.0E-09,+5.50E+00,+1.0000000E+00,VOLT,+1.10E+00,+2.0980000E+00,AMP,+4.95050E+03,Auto osc. on,3,1.000000,5.000000,2.098000,-0.020700,0.000290,PM100USB,1916809,S142C,221018320,18-OCT-2022,623.700000,100.000000,0.000050,TR det. off,Ith det. off,223.838,Maximum current


Current (A), Power (W), Voltage (V)
0.0603700000,0.0000000068,2.0134000000
0.0619200000,0.0000000061,2.0179000000
0.0638100000,0.0000000076,2.0196000000
0.0655600000,0.0000000075,2.0223000000
0.0673900000,0.0000000073,2.0246000000
0.0687800000,0.0000000068,2.0272000000
0.0706100000,0.0000000077,2.0316000000
0.0725000000,0.0000000068,2.0342000000
0.0742900000,0.0000000079,2.0369000000
0.0762300000,0.0000000076,2.0390000000
0.0777600000,0.0000000079,2.0427000000
0.0796300000,0.0000000081,2.0459000000
0.0814600000,0.0000000082,2.0473000000
0.0829800000,0.0000000085,2.0516000000
0.0846400000,0.0000000092,2.0546000000
0.0864700000,0.0000000083,2.0581000000
0.0883900000,0.0000000097,2.0602000000
0.0900200000,0.0000000099,2.0613000000
0.0919400000,0.0000000094,2.0657000000
0.0936700000,0.0000000101,2.0690000000
0.0953000000,0.0000000097,2.0716000000
0.0968600000,0.0000000103,2.0747000000
0.0989200000,0.0000000087,2.0786000000
0.1004600000,0.0000000111,2.0808000000
0.1021600000,0.0000000112,2.0829000000
0.1038200000,0.0000000102,2.0866000000
0.1056900000,0.0000000110,2.0892000000
0.1076800000,0.0000000098,2.0919000000
0.1094900000,0.0000000105,2.0944000000
0.1112200000,0.0000000109,2.0977000000
0.1131800000,0.0000000117,2.0997000000
0.1147100000,0.0000000121,2.1020000000
0.1170200000,0.0000000115,2.1056000000
0.1184600000,0.0000000122,2.1068000000
0.1205800000,0.0000000131,2.1093000000
0.1218500000,0.0000000120,2.1117000000
0.1239200000,0.0000000129,2.1151000000
0.1257700000,0.0000000131,2.1183000000
0.1273500000,0.0000000134,2.1199000000
0.1292000000,0.0000000126,2.1233000000
0.1312400000,0.0000000143,2.1270000000
0.1326000000,0.0000000158,2.1305000000
0.1349700000,0.0000000156,2.1327000000
